UCUM_symbol,label_en,exact_synonym_pluralize_en,exact_synonym_non_pluralize_en,pluralize_label_en,Equivalent_UCUM_Code,definition_en,definition_source,SI_symbol,label_fr,definition_fr,label_zh,definition_zh,comment_en,SI_category,Notes
[pwt_tr],troy pennyweight,,pennyweight - troy|denarius weights,,,,,,,,,,,,
[qt_br],British quart,imperial quart,quart - British,,,,,,,,,,,,
[qt_us],US quart,,quart - US,,,,,,,,,,,,
[rch_us],US Ramden's chain,,Ramden's chain - US,,,,,,,,,,,,
[rd_br],British rod,,rod - British,,,,,,,,,,,,
[rd_us],US rod,,rod - US,,,,,,,,,,,,
[rlk_us],US link for Ramden's chain,,link for Ramden's chain - US,FALSE,,,,,,,,,,,
[S],Svedberg unit,,,,,,,,,,,,,,
[sc_ap],scruple,,,,,,,,,,,,,,
[sct],section,,,,,,,,,,,,,,
[scwt_av],short hundredweight,U.S. hundredweight,hundredweight avoirdupois,,,,,,,,,,,,
[sft_i],international square foot,,square foot|square feet,FALSE,[ft_i]2,,,,,,,,,,
[sin_i],international square inch,,square inch|square inches,FALSE,[in_i]2,,,,,,,,,,
[smgy'U],Somogyi unit,,,,,,,,,,,,,,
[smi_us],US square mile,,square mile - US,,[mi_us]2,,,,,,,,,,
[smoot],Smoot,,,,,,,,,,,,,,
[srd_us],US square rod,,square rod - US,,[rd_us]2,,,,,,,,,,
[ston_av],US short ton,,short ton - US|ton|US tons|avoirdupois tons,,,,,,,,,,,,
[stone_av],British stone,,stone - British|stones avoirdupois,,,,,,,,,,,,
[syd_i],square international yard,square yard,,,[yd_i]2,,,,,,,,,,
[tb'U],tuberculin unit,,,,,,,,,,,,,,
[tbs_m],metric tablespoon,,tablespoon - metric,,,,,,,,,,,,
[tbs_us],US tablespoon,,tablespoon - US,,,,,,,,,,,,
[TCID_50],50% tissue culture infectious dose unit,,,,,,,,,,,,,,
[todd'U],Todd unit,,,,,,,,,,,,,,
[tsp_m],metric teaspoon,,teaspoon - metric,,,,,,,,,,,,
[tsp_us],US teaspoon,,teaspoon - US,,,,,,,,,,,,
[twp],township,,,,,,,,,,,,,,
[USP'U],United States Pharmacopeia unit,,,,,,,,,,,,,,
[wood'U],Wood unit,,,,,,,,,,,,,,
[yd_br],British yard,,yard - British,,,,,,,,,,,,
[yd_i],international yard,yard,,,,,,,,,,,,,
[yd_us],US yard,,yard - US,,,,,,,,,,,,
%,percent,,,FALSE,,,,,,,,,,,
%[slope],percent of slope,,,FALSE,,,,,,,,,,,
10*,the number ten for arbitrary powers,,,FALSE,,,,,,,,,,,
10^,the number ten for arbitrary powers,,,FALSE,,,,,,,,,,,
a_g,mean Gregorian year,,,,,,,,,,,,,,
a_j,mean Julian year,,,,,,,,,,,,,,
a_t,tropical year,solar year,,,,,,,,,,,,,
Ao,Angstrom,Ångström,,,,,,,,,,,,,
atm,standard atmosphere,,,,,,,,,,,,,,
att,technical atmosphere,,,,,,,,,,,,,,
a,year,,annum,,,,,,,,,,,,
B[10.nV],bel 10 nanovolt,,,,,,,,,,,,,,
B[kW],bel kilowatt,,,,,,,,,,,,,,
B[mV],bel millivolt,,,,,,,,,,,,,,
B[SPL],bel sound pressure,,,,,,,,,,,,,,
B[uV],bel microvolt,,,,,,,,,,,,,,
B[V],bel volt,,,,,,,,,,,,,,
B[W],bel watt,,,,,,,,,,,,,,
bar,bar,,,,,,,,,,,,,,
Bd,baud,,,,,,,,,,,,,,
Bi,Biot,,,,abA,,,,,,,,,,
bit,bit,,,,,,,,,,,,,,
bit_s,logarithmic bit,,bit - logarithmic,,,,,,,,,,,,
By,byte,,,,,,,,,,,,,,
b,barn,,,,,,,,,,,,,,
cal,calorie,,gram calories|gram calorie|small calories|small calorie,,,,,,,,,,,,
cal_[15],calorie at 15°C,,calorie 15 C|calories at 15 C,FALSE,,,,,,,,,,,
cal_[20],calorie at 20°C,,calorie 20 C|calories at 20 C,FALSE,,,,,,,,,,,
cal_IT,international table calorie,international steam table calorie,,,,,,,,,,,,,
cal_m,mean calorie,,,,,,,,,,,,,,
cal_th,thermochemical calorie,,,,,,,,,,,,,,
Ci,curie,,,,,,,,,,,,,,
circ,plane angle circle,,circle - plane angle,,,,,,,,,,,,
dyn,dyne,,,,,,,,,,,,,,
eq,equivalent,,,,,,,,,,,,,,
erg,erg,,,,,,,,,,,,,,
g%,gram percent,,,FALSE,,,,,,,,,,,
G,Gauss,,magnetic fields|magnetic flux density,,,,,,,,,,,,
Gal,Gal,,galileos,,,,,,,,,,,,
Gb,Gilbert,,,,cm.s-2,,,,,,,,,,
gf,gram-force,,,,,,,,,,,,,,
